player,player_id,Season,Included in rank?,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Marcus Mariota,9435,2025,1,WAS,10,70.7,208,227,10.6,2.9,3,17,6.9,61.2,139,0,88,5.4,262,8,-0.02,85,32,29.6,71.4,72.3,55.8,1,7,285,4,47.3,18.2,86.1,6.1,16,18,2,13,10,12,4.2,1695,7.5
Shedeur Sanders,131396,2025,1,CLV,8,69.8,182,212,7.7,3.3,4,10,4.5,56.6,120,0,131,5.5,255,7,-0.28,60,8,48.7,44.1,42.3,67.9,9,10,265,7,36.5,17.6,68.1,9,23,18,0,17,7,15,5.7,1400,6.6
Justin Fields,82118,2025,1,NYJ,9,76.5,179,204,7.2,3.09,10,6,2.8,62.7,128,0,116,6.6,260,9,-0.13,67,22,44.4,67.3,65.5,65.8,5,1,276,3,42.7,23.3,89.5,10.4,27,28,2,8,7,7,2.5,1259,6.2
Jayden Daniels,97993,2025,1,WAS,7,76.2,168,188,7.8,3.06,5,10,4.9,60.6,114,0,97,10.9,244,14,-0.01,69,32,52.1,74.9,73.8,65.6,0,3,266,3,46.7,18.6,88.1,7.4,18,38,2,13,8,8,3,1262,6.7
Dillon Gabriel,86272,2025,1,CLV,10,69.2,172,185,6.4,2.75,4,3,1.5,59.5,110,0,88,7.6,217,9,-0.21,49,8,90.2,49,49.6,58.8,3,2,232,5,34.6,21.6,80.8,8.8,19,11,1,5,7,10,4.3,937,5.1
Carson Wentz,10636,2025,1,MIN,5,72.6,157,169,8.4,2.66,2,3,1.7,65.1,110,0,78,3.5,199,4,-0.02,61,18,43.4,50.4,50,62.7,2,5,210,3,46.7,24.4,85.8,9.5,19,9,1,7,6,8,3.8,1216,7.2
Kyler Murray,38334,2025,1,ARZ,5,78.4,148,161,6.4,2.91,7,4,2.3,68.3,110,0,67,5.2,195,6,0.06,59,1,90.2,72.2,69.5,71.4,1,3,211,4,46.2,23.9,88.6,8.2,16,17,0,5,6,3,1.4,962,6
Davis Mills,52269,2025,1,HST,6,68.2,148,159,9.1,2.55,1,7,4.2,57.2,91,0,54,9.9,174,10,-0.11,50,13,57.9,64,67.6,43.6,3,1,183,3,42.5,14.8,81.6,4.6,8,7,0,7,5,8,4.4,915,5.8
Brady Cook,124199,2025,1,NYJ,5,69,142,153,5.9,2.71,5,1,0.6,57.5,88,0,49,10.2,179,10,-0.49,36,22,39.2,32.4,32.7,50.4,1,7,184,1,31.8,38.8,55.4,10.6,19,7,0,5,2,13,7.1,739,4.8
Tyrod Taylor,6332,2025,1,NYJ,6,75,120,134,9.3,3.24,6,2,1.4,59.7,80,0,71,11.1,170,10,-0.12,50,22,89.4,60.7,58.2,65.9,1,5,178,2,42.9,19.7,72.9,8.2,14,22,1,6,5,7,3.9,779,5.8
Jake Browning,46401,2025,0,CIN,5,70.1,117,125,8,2.8,2,5,3.7,64.8,81,1,56,1.2,138,1,-0.38,35,7,67.2,51.9,51.5,62.2,0,8,150,3,37,16.1,71.1,6.5,9,4,0,6,6,9,6,771,6.2
Russell Wilson,7077,2025,0,NYG,6,75.5,98,119,9.7,2.76,3,8,6.2,58,69,2,55,6.8,141,5,-0.17,36,21,27.9,63.3,63.5,56.5,4,3,152,4,41.1,18.2,77.4,7.1,10,12,0,14,3,7,4.6,831,7
Philip Rivers,1725,2025,0,IND,3,67.8,87,92,8.3,2.35,2,3,3.1,63,58,0,27,1.7,97,1,-0.18,30,14,55.4,51,50.5,59.6,0,3,102,2,46.4,18.5,80.2,5.2,5,0,0,3,4,5,4.9,544,5.9
Quinn Ewers,127253,2025,0,MIA,4,70,80,83,8.8,2.57,1,2,2.3,66.3,55,0,31,1.8,98,1,-0.04,30,17,29.5,39.7,40.5,55.1,0,3,101,2,41.8,25.8,85.5,8.2,8,3,0,2,3,5,5,622,7.5
Max Brosmer,105568,2025,0,MIN,6,74.6,67,71,4.3,2.72,0,2,2.6,66.2,47,0,34,6,87,3,-0.67,19,18,27.7,28,27.4,62.3,2,4,93,0,33.3,41.2,53,16.1,14,2,0,2,0,6,6.5,328,4.6
Tyler Huntley,46448,2025,0,BLT,4,84.4,64,67,6.2,2.73,1,1,1.4,77.6,52,0,37,3.7,82,2,0.06,24,3,85.6,79.1,68.8,86.5,0,0,85,1,48.8,21.6,103.1,9.8,8,7,1,1,2,1,1.2,426,6.4
Riley Leonard,143862,2025,0,IND,5,67.7,62,67,9.2,2.73,1,6,8.2,58.2,39,0,28,7.1,73,3,-0.18,21,14,49,65.5,61.8,74,1,3,79,0,34.2,7.1,67.7,2.7,2,3,0,3,2,6,7.6,415,6.2
Jameis Winston,9434,2025,0,NYG,3,65,60,66,10.1,2.9,1,5,6.9,56.1,37,0,26,5.1,70,2,0.34,26,21,83.8,74,66.3,72.2,1,2,76,1,45.7,11.5,82.1,4.3,3,1,0,4,2,5,6.6,567,8.6
Trey Lance,91399,2025,0,LAC,4,60.4,48,57,9.8,2.77,0,1,1.7,47.4,27,0,26,6.9,70,2,-0.54,13,27,50.7,36,31.3,66.5,3,1,72,1,30,23.1,50.8,8.6,6,7,4,2,0,4,5.6,226,4
Chris Oladokun,40364,2025,0,KC,3,79.2,48,55,5,3.12,3,0,0,63.6,35,0,26,7.9,67,3,-0.5,10,16,18.6,41.4,45.4,39.5,1,0,71,1,29.9,30.8,79,11.9,8,4,1,2,1,5,7,235,4.3
Josh Johnson,4474,2025,0,WAS,3,70.8,48,54,6.5,2.91,0,0,0,63,34,0,22,0,64,0,0.06,25,32,26.6,52.9,55.4,47.3,1,2,72,0,51.6,9.1,74,3.1,2,8,2,3,1,2,2.8,372,6.9
Mason Rudolph,46569,2025,0,PIT,5,81.3,48,53,5,2.68,2,0,0,73.6,39,0,10,0,57,0,0.04,18,25,42.8,52.8,50.5,69.1,0,2,61,1,50.9,20,84.8,3.5,2,1,0,3,2,4,6.6,312,5.9
Cooper Rush,12324,2025,0,BLT,3,73.5,49,52,6.5,2.57,0,1,1.9,65.4,34,0,18,5.6,53,2,-0.49,13,3,81.7,59.3,59.8,52.9,2,4,57,0,39.6,5.6,48.8,1.9,1,0,0,1,0,3,5.3,303,5.8
Kenny Pickett,60515,2025,0,LV,6,76.2,42,45,6.1,2.85,1,1,2.2,62.2,28,0,22,12.5,56,4,-0.53,11,23,39.2,48.4,47.3,60.4,1,2,58,0,26.8,36.4,60.2,14.3,8,3,1,0,1,3,5.2,188,4.2
Tanner McKee,131770,2025,0,PHI,2,72.2,36,43,9.7,2.94,0,0,0,55.8,24,0,20,7.7,49,2,-0.18,17,24,81.2,61.2,60.7,58.8,1,1,50,0,49,15,73.2,6.1,3,3,0,6,1,1,2,274,6.4
Andy Dalton,6187,2025,0,CAR,3,71.4,35,37,9.5,2.53,0,1,2.6,67.6,25,0,18,0,48,0,-0.22,17,5,23.8,55,59.6,35.1,0,1,50,0,50,44.4,89.1,16.7,8,1,0,2,1,4,8,293,7.9
Malik Willis,60341,2025,0,GB,4,94.1,34,35,9.7,3.32,0,3,8.3,85.7,30,0,23,6.3,47,2,0.68,23,12,42,92.3,90.8,80.3,1,0,49,0,70.2,13,145.5,6.4,3,9,0,0,3,0,0,422,12.1
Mitch Trubisky,11757,2025,0,BUF,4,79.4,34,35,7.7,2.81,0,2,5.4,71.4,25,0,3,7.4,37,2,0.73,19,4,80.3,79.9,77.7,66.6,0,0,39,0,62.2,0,137,0,0,2,0,1,4,1,2.6,313,8.9
Jarrett Stidham,13725,2025,0,DEN,1,74.1,27,31,6.5,3.15,0,1,3.2,54.8,17,0,19,15,37,3,-0.59,8,10,26.2,45.9,46.7,53.6,1,1,37,0,29.7,15.8,63,8.1,3,3,0,3,1,2,5.4,133,4.3
Brandon Allen,10835,2025,0,TEN,1,64.3,28,30,3.4,2.55,1,1,3.2,56.7,17,0,13,5.6,31,1,-0.89,3,31,77.7,36.4,37.1,,1,1,32,0,16.1,7.7,47.9,3.2,1,0,0,0,0,3,9.4,72,2.4
Joe Milton III,82151,2025,0,DAL,4,71.4,21,24,10.1,2.93,1,1,3.7,62.5,15,0,9,0,27,0,-0.28,9,9,26.6,52.7,52.7,57.4,0,2,30,0,48.1,0,65.1,0,0,3,0,2,1,2,6.7,183,7.6
Aidan O'Connell,60516,2025,0,LV,1,57.9,19,22,9.3,2.58,0,1,4.3,45.5,10,0,8,9.1,24,1,-0.41,5,23,76.3,65.7,66.9,55.7,1,0,25,0,33.3,12.5,59.3,4.2,1,1,0,2,0,0,0,102,4.6
Teddy Bridgewater,8667,2025,0,TB,1,57.1,14,15,6.4,2.57,0,0,0,53.3,8,0,7,0,18,0,-0.73,2,30,75.8,43.8,44,57.5,0,0,20,0,11.1,28.6,63.8,11.1,2,1,0,1,0,0,0,62,4.1
Clayton Tune,77652,2025,0,GB,2,69.2,13,15,3.6,3.04,1,0,0,46.7,7,0,11,22.2,22,2,-0.87,3,12,76.6,37.7,29.5,65.1,0,1,23,0,31.8,45.5,25.7,22.7,5,2,0,1,0,1,4.3,42,2.8
Shane Buechele,12659,2025,0,KC,1,63.6,11,14,11.5,3.08,2,1,7.1,50,7,0,10,0,20,0,-0.32,4,16,75.1,51.2,54.2,55.3,0,0,20,0,20,50,69.9,25,5,1,0,1,0,1,5,88,6.3
Gardner Minshew,41401,2025,0,KC,2,66.7,9,13,4.4,2.76,2,0,0,46.2,6,0,3,0,14,0,-0.54,2,16,75.7,33.4,33.6,58.3,0,1,15,1,28.6,0,21,0,0,1,0,2,0,1,6.7,37,2.8
Zach Wilson,82096,2025,0,MIA,3,75,8,11,5.6,2.34,1,0,0,54.5,6,0,4,0,12,0,-0.33,3,17,73.5,49.1,49.1,57.9,1,0,12,0,33.3,0,60,0,0,1,0,1,0,0,0,32,2.9
Joshua Dobbs,11890,2025,0,NE,4,70,10,10,10.8,3.25,0,1,9.1,70,7,0,2,0,11,0,-0.25,3,19,76.3,64,66.5,56.1,0,0,12,0,27.3,0,87.5,0,0,1,0,0,0,0,0,65,6.5
Taysom Hill,12112,2025,0,NO,5,66.7,3,6,17.3,2.5,1,0,0,33.3,2,0,1,0,6,0,-0.47,2,20,30,53.4,70.7,54.5,0,0,6,2,33.3,0,109,0,0,0,0,2,1,0,0,57,9.5
Tyson Bagent,169628,2025,0,CHI,2,75,4,4,7.8,3.4,0,0,0,75,3,0,1,0,5,0,0.6,2,6,68,60.3,62.3,58.3,0,0,5,0,60,0,113.5,0,0,1,0,0,0,0,0,47,11.8
Nick Mullens,12282,2025,0,JAX,2,100,3,3,1,1.7,0,0,0,100,3,0,0,0,3,0,0.51,2,15,75.1,70.6,71.2,62.8,0,0,3,0,66.7,,93.1,0,0,0,0,0,0,0,0,19,6.3
Drew Lock,39517,2025,0,SEA,1,66.7,3,3,1.3,2.67,0,0,0,66.7,2,0,1,0,3,0,-0.3,1,29,14.2,27.9,43.5,29.4,0,0,3,0,33.3,0,78.5,0,0,0,0,0,0,1,33.3,15,5
Anthony Richardson,124393,2025,0,IND,1,50,2,2,18.5,2,0,0,0,50,1,0,0,0,2,0,-0.58,1,14,70.1,72.4,65.9,66.7,0,0,2,0,50,,62.5,0,0,0,0,0,0,0,0,9,4.5
Kedon Slovis,100580,2025,0,ARZ,2,100,2,2,1.5,2.25,0,0,0,50,1,0,1,50,2,1,-1.26,0,1,63.6,58.8,58.7,,0,0,2,0,0,0,56.3,0,0,0,0,0,0,0,0,-2,-1
David Montgomery,45719,2025,0,DET,4,50,2,2,7.5,2.45,0,0,0,50,1,0,2,0,4,0,-0.96,1,11,77,75.3,62.4,72.5,0,0,5,0,25,50,95.8,25,1,0,0,0,1,0,0,3,1.5
Kyle Allen,26152,2025,0,DET,1,50,2,2,6,2.25,0,0,0,0,0,0,0,100,2,1,-0.78,0,11,69.1,73.7,73,60.5,0,0,2,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Gunner Olszewski,95015,2025,0,NYG,2,50,2,2,13.5,4.35,0,0,0,50,1,0,1,0,2,0,1.36,1,21,61.9,76.7,58.5,,0,0,2,1,50,0,135.4,0,0,0,0,0,1,0,0,33,16.5
Cooper Kupp,11824,2025,0,SEA,1,0,1,1,7,3.6,0,0,0,0,0,0,1,,1,0,-5.12,0,29,44.8,73.1,45.5,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,100,0,0
Christian McCaffrey,11763,2025,0,SF,1,,0,1,,3.3,0,0,0,0,0,0,1,,1,0,-0.54,0,28,83.5,77.2,60,66.3,0,0,1,0,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Isaiah Williams,97156,2025,0,NYJ,1,0,1,1,7,3.6,0,0,0,0,0,0,0,,1,0,-0.55,0,22,67.6,61.4,56.3,63.7,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tyler Warren,129798,2025,0,IND,1,,0,1,,4.3,0,0,0,0,0,1,1,,1,0,-0.32,0,14,54.3,67.6,60,45.1,0,0,1,4,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Cole Kmet,60995,2025,0,CHI,2,0,1,1,13,5.6,0,0,0,0,0,0,0,,2,0,-0.49,0,6,77.6,62.9,70.7,56.3,0,0,2,3,0,,39.6,0,0,1,0,0,0,0,0,0,0
Derrick Henry,10679,2025,0,BLT,1,0,1,1,14,3.2,0,0,0,0,0,0,1,,1,0,-0.32,0,3,56.9,80.4,48.9,79.4,0,0,1,1,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Efton Chism III,141521,2025,0,NE,1,0,1,1,11,4.5,0,0,0,0,0,0,0,,1,0,-1.42,0,19,80.8,70.5,49.8,,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Corey Bojorquez,27626,2025,0,CLV,1,,0,1,,3.4,0,0,0,0,0,0,1,,1,0,0,0,8,,60,60,,0,0,1,0,0,0,39.6,0,0,0,0,1,0,1,100,0,0
Cam Akers,57206,2025,0,SEA,1,100,1,1,15,2.3,0,0,0,100,1,0,0,0,1,0,3.22,1,29,72.5,57.8,70.7,64.6,0,0,1,0,100,,158.3,0,0,0,0,0,1,0,0,32,32
