passer_name,dropbacks,total_epa,epa_per_dropback
Patrick Crayton,2,-1.179,-0.5895
Luke Falk,97,-57.21699999999998,-0.589865979381443
J.J. Arrington,1,-0.6,-0.6
Cairo Santos,1,-0.6,-0.6
Preston Williams,1,-0.615,-0.615
Carlyle Holiday,1,-0.619,-0.619
Britton Colquitt,3,-1.8639999999999999,-0.6213333333333333
David Montgomery,9,-5.618,-0.6242222222222222
Bruce Ellington,2,-1.26,-0.63
Danario Alexander,1,-0.636,-0.636
MarQueis Gray,1,-0.653,-0.653
Ezekiel Elliott,1,-0.657,-0.657
Duke Johnson Jr.,1,-0.658,-0.658
Zach Pascal,2,-1.3170000000000002,-0.6585000000000001
Thomas Jones,2,-1.353,-0.6765
Joe Callahan,7,-4.767,-0.681
Reggie Bush,2,-1.3679999999999999,-0.6839999999999999
Kevin O'Connell,7,-4.827,-0.6895714285714286
Kyle Trask,11,-7.74,-0.7036363636363636
Phillip Dorsett,1,-0.706,-0.706
A.J. Brown,2,-1.419,-0.7095
Kellen Mond,3,-2.1319999999999997,-0.7106666666666666
Chris Godwin,1,-0.72,-0.72
D'Andre Swift,2,-1.4409999999999998,-0.7204999999999999
Anquan Boldin,5,-3.6039999999999996,-0.7207999999999999
Mike Gesicki,1,-0.735,-0.735
Connor Heyward,1,-0.74,-0.74
Tyler Bray,6,-4.484999999999999,-0.7474999999999999
J. Levi Brown,3,-2.248,-0.7493333333333334
Ronald Curry,4,-3.0540000000000003,-0.7635000000000001
Bernard Scott,1,-0.773,-0.773
Josh Jacobs,2,-1.549,-0.7745
Greg Lewis,1,-0.775,-0.775
Eric Weddle,1,-0.785,-0.785
Logan Woodside,9,-7.195,-0.7994444444444445
Pierre Garcon,1,-0.83,-0.83
Allen Lazard,1,-0.831,-0.831
Jeremy Maclin,2,-1.667,-0.8335
Dante' Hall,1,-0.849,-0.849
Keenan Allen,9,-7.728,-0.8586666666666667
Jordan Addison,1,-0.861,-0.861
Randy Moss,1,-0.871,-0.871
Ian Book,31,-27.254999999999995,-0.8791935483870966
Deion Branch,1,-0.888,-0.888
Dustin Colquitt,5,-4.541,-0.9082000000000001
Brandon Marshall,3,-2.8,-0.9333333333333332
Frank Gore,1,-0.948,-0.948
CeeDee Lamb,2,-1.9,-0.95
Eric Page,1,-0.95,-0.95
Clayton Tune,60,-58.916999999999994,-0.9819499999999999
Marc Mariani,1,-0.987,-0.987
Kendall Hunter,1,-0.999,-0.999
Gage Larvadain,1,-0.999,-0.999
Corey Bojorquez,3,-2.998,-0.9993333333333334
Romeo Doubs,1,-1.0,-1.0
Mitch Wishnowsky,2,-2.0,-1.0
Rian Lindell,1,-1.0,-1.0
Matt Darr,1,-1.0,-1.0
Bradley Pinion,1,-1.0,-1.0
Emeka Egbuka,1,-1.0,-1.0
Quinshon Judkins,1,-1.0,-1.0
Chris Hanson,1,-1.007,-1.007
Sean Renfree,10,-10.169,-1.0169000000000001
Calvin Ridley,1,-1.017,-1.017
Malik Cunningham,1,-1.038,-1.038
Greg Ward,4,-4.274,-1.0685
Denard Robinson,2,-2.145,-1.0725
JK Scott,3,-3.359,-1.1196666666666666
DeAndre Hopkins,5,-5.697,-1.1394
Micheal Spurlock,5,-5.742,-1.1484
Chris Jones,2,-2.37,-1.185
Kellen Winslow,1,-1.216,-1.216
Jake Rudock,6,-7.47,-1.2449999999999999
Kedon Slovis,2,-2.512,-1.256
Davante Adams,1,-1.265,-1.265
Brandon Zylstra,2,-2.5410000000000004,-1.2705000000000002
Steve Weatherford,1,-1.307,-1.307
Parris Campbell,1,-1.329,-1.329
Chris Johnson,1,-1.339,-1.339
Miles Killebrew,1,-1.366,-1.366
Justin Tucker,1,-1.378,-1.378
Kyle Lauletta,5,-6.952,-1.3904
Jaylen Waddle,1,-1.409,-1.409
Efton Chism III,1,-1.418,-1.418
Kenyan Drake,1,-1.438,-1.438
Ja'Marr Chase,2,-2.924,-1.462
Cooper Kupp,6,-8.817,-1.4695
Sammy Watkins,2,-2.9480000000000004,-1.4740000000000002
De'Von Achane,1,-1.541,-1.541
Adam Thielen,1,-1.556,-1.556
Eric Ebron,1,-1.596,-1.596
Kendall Hinton,12,-19.221,-1.60175
Saquon Barkley,1,-1.607,-1.607
Josh Morgan,1,-1.621,-1.621
Lawrence Vickers,1,-1.644,-1.644
Brandon LaFell,1,-1.697,-1.697
Ben Graham,1,-1.698,-1.698
DeAndre Carter,1,-1.707,-1.707
Tom Brandstater,2,-3.682,-1.841
Josh Gordon,2,-3.7199999999999998,-1.8599999999999999
Adam Podlesh,1,-1.892,-1.892
Joe Horn,1,-1.919,-1.919
Marte Mapu,1,-1.981,-1.981
Josh Bush,1,-2.127,-2.127
Jeff Smith,1,-2.221,-2.221
Chas Henry,1,-2.238,-2.238
Devin Hester,1,-2.313,-2.313
Tyreek Hill,2,-4.6450000000000005,-2.3225000000000002
Tanner Hudson,1,-2.345,-2.345
DeeJay Dallas,2,-4.833,-2.4165
Michael Koenen,2,-4.834,-2.417
Jerious Norwood,2,-4.9590000000000005,-2.4795000000000003
Leonard Fournette,2,-5.074,-2.537
Wali Lundy,1,-2.537,-2.537
Brandon Fields,1,-2.559,-2.559
Tim Castille,1,-2.564,-2.564
Ty Long,1,-2.572,-2.572
Matt Turk,1,-2.598,-2.598
Blake Gillikin,1,-2.769,-2.769
Shane Vereen,1,-2.943,-2.943
Jonathan Williams,1,-2.965,-2.965
Keyshawn Johnson,1,-3.119,-3.119
Matt Forte,2,-6.406,-3.203
Pharoh Cooper,2,-6.609,-3.3045
Chris Olave,1,-3.527,-3.527
Reggie Wayne,1,-3.757,-3.757
Jamie Gillan,1,-3.808,-3.808
Santonio Holmes,1,-3.81,-3.81
DeSean Jackson,1,-3.9,-3.9
Chris Brown,1,-3.931,-3.931
James Robinson,1,-4.185,-4.185
James Proche II,1,-4.305,-4.305
Adonai Mitchell,2,-8.618,-4.309
Jake Elliott,1,-4.382,-4.382
Hank Baskett,1,-4.475,-4.475
Jameson Williams,1,-4.672,-4.672
Feleipe Franks,1,-5.049,-5.049
Amari Cooper,1,-5.532,-5.532
Ricky Williams,1,-6.115,-6.115
Lance Moore,1,-6.156,-6.156
Dontrell Hilliard,1,-6.757,-6.757
Dalvin Cook,1,-6.907,-6.907
