passer_name,dropbacks,total_epa,epa_per_dropback
Chris Boswell,2,0.019999999999999574,0.009999999999999787
Geno Smith,3819,34.58499999999978,0.009056035611416545
Tanner McKee,97,0.829999999999993,0.008556701030927762
Matt Cassel,3199,16.050000000000026,0.005017192872772749
Jon Kitna,1899,9.300999999999986,0.004897840968931009
Steve McNair,776,3.788999999999916,0.004882731958762779
Christian Ponder,1295,5.957999999999988,0.004600772200772191
Chad Henne,2350,9.019999999999994,0.003838297872340423
Mason Rudolph,911,3.0859999999999954,0.0033874862788144844
Troy Smith,290,0.3149999999999933,0.001086206896551701
Kerry Collins,1328,0.2780000000000056,0.00020933734939759455
Tyler Thigpen,617,-0.2700000000000029,-0.00043760129659643906
Sam Darnold,3550,-6.886999999999858,-0.0019399999999999602
Jake Delhomme,1628,-3.5019999999999945,-0.0021511056511056476
Jacoby Brissett,2761,-7.914999999999936,-0.0028667149583484013
Seneca Wallace,877,-2.930000000000005,-0.00334093500570126
Anthony Wright,12,-0.050000000000000266,-0.004166666666666689
Caleb Williams,1521,-7.829000000000072,-0.005147271531886963
Matt Moore,1274,-6.874999999999985,-0.005396389324960742
Matt Barkley,401,-3.055999999999999,-0.007620947630922691
Matt Flynn,441,-3.953999999999996,-0.008965986394557814
Kyle Allen,838,-8.461000000000002,-0.010096658711217186
Brandon Weeden,1114,-12.409000000000022,-0.011139138240574525
Brian Griese,538,-6.562999999999981,-0.012198884758364278
Jake Plummer,356,-4.8919999999999915,-0.013741573033707842
Robbie Chosen,1,-0.014,-0.014
Matt McGloin,305,-4.343000000000005,-0.0142393442622951
Tyler Shough,397,-5.933999999999996,-0.014947103274559182
Daniel Jones,3348,-51.08500000000008,-0.015258363201911613
Cleo Lemon,439,-6.749000000000005,-0.015373576309795
Tim Tebow,531,-8.621000000000015,-0.016235404896421873
Colt McCoy,1502,-26.547000000000025,-0.01767443408788284
Cody Kessler,443,-8.08699999999998,-0.018255079006771965
Mark Sanchez,2857,-52.71400000000012,-0.018450822541127097
Ryan Mallett,376,-7.264000000000008,-0.019319148936170236
Stephen McGee,107,-2.2789999999999977,-0.021299065420560728
Marc Bulger,1906,-42.25200000000011,-0.02216789087093395
Brock Osweiler,1440,-33.438000000000024,-0.02322083333333335
A.J. Feeley,271,-6.314000000000011,-0.02329889298892993
Damon Huard,753,-18.918000000000035,-0.025123505976095663
Jake Browning,448,-11.514000000000014,-0.025700892857142887
A.J. McCarron,273,-7.075000000000003,-0.025915750915750928
Byron Leftwich,506,-13.664000000000021,-0.02700395256917
Mac Jones,2205,-60.48199999999994,-0.027429478458049862
Joe Webb III,236,-6.941000000000004,-0.02941101694915256
Taylor Heinicke,1240,-36.67899999999992,-0.029579838709677352
Terrelle Pryor Sr.,407,-13.672999999999995,-0.03359459459459458
Landry Jones,194,-6.968000000000014,-0.03591752577319595
Jeff Driskel,505,-18.751999999999992,-0.037132673267326714
Thaddeus Lewis,227,-8.515,-0.037511013215859035
Brad Smith,13,-0.5100000000000007,-0.039230769230769284
Matt Leinart,730,-30.491999999999997,-0.04176986301369863
Jim Sorgi,71,-2.982999999999997,-0.042014084507042214
Garrett Gilbert,84,-3.535000000000001,-0.04208333333333335
Johnny Manziel,328,-13.887000000000008,-0.042338414634146365
Drew Stanton,785,-34.685000000000024,-0.04418471337579621
David Carr,778,-35.18599999999996,-0.04522622107969146
Drew Lock,1144,-51.77600000000002,-0.04525874125874128
T.J. Yates,454,-21.86299999999999,-0.04815638766519821
Austin Davis,456,-22.863999999999994,-0.05014035087719297
Trevor Siemian,1433,-71.92499999999997,-0.050191905094207935
Desmond Ridder,713,-35.802,-0.05021318373071529
Luke McCown,313,-16.116,-0.0514888178913738
Tom Savage,384,-19.98299999999999,-0.052039062499999976
Aidan O'Connell,681,-35.612000000000016,-0.05229368575624085
Quinn Ewers,101,-5.311000000000001,-0.05258415841584159
Mark Brunell,351,-19.045999999999985,-0.05426210826210822
Brett Basanez,12,-0.7199999999999998,-0.05999999999999998
Derek Anderson,1870,-119.79499999999993,-0.06406149732620317
Kevin Kolb,909,-58.558000000000014,-0.06442024202420243
Alex Tanney,18,-1.1880000000000002,-0.066
Rex Grossman,1630,-108.03800000000003,-0.06628098159509203
Kevin Hogan,126,-8.572,-0.06803174603174603
Brandon Aiyuk,1,-0.069,-0.069
Trent Green,512,-36.00999999999998,-0.07033203124999995
C.J. Beathard,678,-48.74099999999996,-0.07188938053097339
Kellen Clemens,774,-56.28000000000002,-0.07271317829457367
Kenjon Barner,1,-0.074,-0.074
Kenny Pickett,978,-72.95400000000001,-0.07459509202453989
Joey Harrington,830,-62.06400000000001,-0.07477590361445784
Tyler Huntley,758,-57.112999999999985,-0.07534696569920843
Tyler Palko,159,-12.183999999999997,-0.07662893081761005
Trent Edwards,1089,-83.71799999999995,-0.07687603305785119
Anthony Richardson,426,-33.23599999999999,-0.07801877934272299
Justin Fields,1821,-144.88299999999992,-0.07956232839099392
Mike White,354,-28.288999999999998,-0.07991242937853106
Mike Glennon,1342,-108.281,-0.08068628912071535
Davis Webb,43,-3.591999999999999,-0.08353488372093021
Mack Hollins,1,-0.084,-0.084
Robbie Gould,1,-0.084,-0.084
Devlin Hodges,196,-16.59099999999999,-0.08464795918367342
Leon Washington,3,-0.2549999999999999,-0.08499999999999996
J.P. Losman,864,-74.116,-0.0857824074074074
Joshua Dobbs,687,-59.64499999999997,-0.08681950509461422
Ryan Griffin,4,-0.36399999999999966,-0.09099999999999991
E.J. Manuel,720,-65.84500000000004,-0.09145138888888894
Jeff Feagles,1,-0.095,-0.095
Charlie Whitehurst,487,-46.72400000000002,-0.09594250513347026
Gus Frerotte,547,-52.62599999999998,-0.0962084095063985
Davis Mills,1300,-128.60400000000004,-0.09892615384615387
Brock Berlin,33,-3.279,-0.09936363636363636
Matt Gutierrez,3,-0.3009999999999998,-0.10033333333333327
Tyson Bagent,173,-17.427000000000007,-0.10073410404624282
Jarrett Stidham,284,-29.07399999999999,-0.10237323943661969
J.J. McCarthy,310,-33.74700000000001,-0.10886129032258067
Todd Collins,234,-25.630999999999997,-0.10953418803418802
Blaine Gabbert,1913,-224.48999999999992,-0.11734971249346572
Bryce Young,1766,-207.72899999999984,-0.1176268403171007
Cooper Rush,679,-83.17600000000002,-0.12249779086892491
Will Levis,694,-85.52699999999997,-0.12323775216138325
Easton Stick,209,-25.85299999999999,-0.12369856459330139
Brett Hundley,414,-51.38699999999998,-0.12412318840579704
Daunte Culpepper,732,-91.41100000000002,-0.12487841530054647
J.T. O'Sullivan,343,-43.199999999999996,-0.1259475218658892
Dillon Gabriel,232,-29.381999999999994,-0.1266465517241379
Kyle Boller,654,-85.648,-0.13096024464831804
Zay Jones,2,-0.266,-0.133
Mike Kafka,19,-2.534,-0.13336842105263158
Sam Howell,797,-108.48100000000004,-0.13611166875784195
Charlie Frye,653,-92.92500000000003,-0.1423047473200613
Peyton Hillis,3,-0.4289999999999998,-0.14299999999999993
John Skelton,698,-101.70700000000001,-0.14571203438395416
Vinny Testaverde,201,-29.308000000000003,-0.14581094527363186
Brad Johnson,614,-89.81400000000006,-0.1462768729641695
Brodie Croyle,367,-55.637999999999984,-0.15160217983651222
Riley Leonard,79,-12.126,-0.15349367088607593
David Blough,296,-45.50700000000002,-0.15373986486486493
Bruce Gradkowski,856,-133.92600000000002,-0.15645560747663553
Scott Tolzien,172,-26.950000000000006,-0.15668604651162796
DeShone Kizer,655,-105.29499999999997,-0.16075572519083967
Paxton Lynch,167,-27.19599999999999,-0.16285029940119755
Jared Lorenzen,10,-1.655,-0.1655
Armanti Edwards,4,-0.6699999999999999,-0.16749999999999998
Spencer Rattler,598,-100.50399999999999,-0.168066889632107
Dwayne Haskins,536,-90.39900000000002,-0.16865485074626868
Zach Wilson,1233,-211.10800000000006,-0.17121492295214927
Tommy DeVito,305,-52.33200000000001,-0.1715803278688525
Cam Ward,662,-114.66900000000011,-0.1732160120845923
Zach Mettenberger,398,-70.65099999999998,-0.17751507537688438
Graham Harrell,4,-0.724,-0.181
David Fales,58,-10.689000000000002,-0.1842931034482759
Bryce Petty,292,-53.81900000000001,-0.18431164383561646
Trey Lance,254,-47.11899999999997,-0.18550787401574792
