player,player_id,Season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Richardson,124393,2024,1,IND,11,60.2,236,264,12.3,2.95,3,19,6.8,47.7,126,1,115,11.3,299,16,-0.11,82,14,28.2,62.2,59.8,65.1,11,12,317,4,37.1,12.2,61.6,4.7,14,21,2,12,8,15,4.7,1814,6.9
Mac Jones,60323,2024,1,JAX,10,72.7,242,262,7.7,2.67,6,8,2.9,65.3,171,0,76,2.8,290,5,-0.03,82,15,81.5,65,62.1,75.4,2,8,309,3,44.1,18.4,79.2,4.8,14,14,0,12,7,10,3.2,1672,6.4
Joe Flacco,4332,2024,1,IND,7,73,233,248,9.2,2.62,3,8,3,65.3,162,1,78,4.7,270,8,0.03,88,14,79.9,71.6,70.7,55.4,1,7,290,3,45.9,23.1,90.5,6.7,18,3,0,11,12,11,3.8,1761,7.1
Aidan O'Connell,60516,2024,1,LV,9,71.3,223,243,8.3,2.74,4,12,4.6,63.4,154,0,83,3.1,256,5,0.03,80,23,66.8,61.2,58.2,74.6,4,4,276,2,46.9,12,86.7,3.9,10,3,1,11,8,10,3.6,1612,6.6
Spencer Rattler,97408,2024,1,NO,7,69,203,228,8.2,2.78,5,6,2.4,57,130,0,98,7.1,264,10,-0.29,67,20,27.1,52,49.4,71.3,6,5,284,1,37.5,22.4,70.4,8.3,22,14,1,13,4,14,4.9,1317,5.8
Mason Rudolph,46569,2024,1,TEN,8,77,204,228,7.6,2.7,2,6,2.4,64,146,0,89,7,256,11,-0.01,85,31,48.6,62.5,61.5,65.3,4,9,276,4,48,12.4,80.1,4.3,11,13,3,15,9,8,2.9,1530,6.7
Deshaun Watson,11767,2024,1,CLV,7,76.8,198,216,7.1,3.05,2,8,3.5,63.4,137,0,118,9.9,270,15,-0.25,54,8,56.9,63.1,63.4,57.6,6,3,290,2,37.8,28,79,12.2,33,21,0,10,5,5,1.7,1148,5.3
Drew Lock,39517,2024,1,NYG,7,71.2,163,181,7.3,2.81,7,6,3.1,59.1,107,0,78,7.8,204,9,-0.21,53,21,40.3,53.6,48.2,90.7,3,5,216,4,40.7,15.4,75.5,5.9,12,10,1,7,6,11,5.1,1071,5.9
Justin Fields,82118,2024,1,PIT,8,78.2,147,162,7.8,3.08,2,6,3.4,65.4,106,0,79,7.8,197,9,0.02,51,25,63.2,71,65.7,76.8,4,1,215,4,43.1,20.3,92.8,8.1,16,18,1,8,5,6,2.8,1106,6.8
Jacoby Brissett,10725,2024,1,NE,7,70.6,143,161,7.3,2.89,1,5,2.9,59,95,0,82,5.9,188,6,-0.23,45,19,37.3,59.1,58.5,56.7,5,1,200,2,39.4,22,74.2,9.6,18,9,1,11,2,6,3,826,5.1
Andy Dalton,6187,2024,1,CAR,6,77.5,151,160,7,2.54,3,6,3.6,66.3,106,0,50,9.4,175,11,-0.23,52,5,58.2,68.1,67.4,58,0,6,185,0,40.6,14,82,4,7,6,0,6,7,8,4.3,989,6.2
Tyler Huntley,46448,2024,1,MIA,5,77.5,120,133,8.2,2.66,3,1,0.7,64.7,86,0,59,7.5,168,7,-0.13,52,17,35.3,67.3,61.6,78.5,2,3,182,2,40.5,25.4,80.1,8.9,15,15,1,7,3,9,4.9,831,6.2
Dorian Thompson-Robinson,83574,2024,0,CLV,6,67,103,118,5.7,2.75,2,1,0.8,51.7,61,0,44,11.6,133,8,-0.59,23,8,29,45.3,39.3,73.1,1,6,142,5,32.3,18.2,39.5,6,8,6,0,12,0,7,4.9,440,3.7
Michael Penix Jr.,82134,2024,0,ATL,5,70.4,98,105,10.6,2.66,1,10,9,58.1,61,0,33,11.6,114,8,0.1,36,2,34.9,87.9,87.6,51.3,3,3,120,0,47.4,12.1,78.9,3.5,4,4,0,3,3,2,1.7,775,7.4
Desmond Ridder,55086,2024,0,LV,5,72,75,85,7.9,2.72,1,4,4.5,61.2,52,0,45,3.7,102,2,-0.07,25,23,29.9,45.7,49,47.3,3,2,105,1,42.2,22.2,73.6,9.8,10,6,1,5,2,5,4.8,458,5.4
Malik Willis,60341,2024,0,GB,6,83,53,54,7.5,2.97,0,2,3.4,74.1,40,0,23,9.1,71,4,0.21,24,12,52.5,70.3,65.3,71.2,0,0,77,2,42.3,34.8,124.8,11.3,8,8,0,1,3,1,1.3,550,10.2
