player,player_id,Included in rank?,Dropbacks,Shotgun,Pistol,Under center,Shotgun %,Pistol %,Under center %
Cole Kmet,60995,0,2,0,0,2,0,0,1
Derrick Henry,10679,0,1,0,0,1,0,0,1
Efton Chism III,141521,0,1,1,0,0,1,0,0
Corey Bojorquez,27626,0,1,0,0,1,0,0,1
Cam Akers,57206,0,1,1,0,0,1,0,0
DJ Moore,48267,0,1,1,0,0,1,0,0
Jauan Jennings,48027,0,1,0,0,1,0,0,1
Jaylen Waddle,84088,0,1,1,0,0,1,0,0
Rigoberto Sanchez,12130,0,1,0,0,1,0,0,1
Breece Hall,97636,0,1,0,0,1,0,0,1
Matt Haack,12212,0,1,0,0,1,0,0,1
Austin McNamara,99363,0,1,0,0,1,0,0,1
RJ Harvey,99622,0,1,0,1,0,0,1,0
Chris Olave,84355,0,1,1,0,0,1,0,0
