player,player_id,season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brian Hoyer,5277,2023,0,LV,2,59.5,42,42,8.5,2.26,0,3,6.5,54.8,23,0,5,8,43,2,-0.24,14,23,80.6,55.2,54.6,60.5,0,2,47,0,44.2,20,50.8,2.3,1,0,0,0,0,1,2.1,231,5.5
Davis Mills,52269,2023,0,HST,6,60.5,38,40,7.9,2.67,1,0,0,47.5,19,0,17,17.4,43,4,-0.22,12,13,80.5,48.3,46.3,68.2,0,0,45,0,34.9,11.8,77,4.7,2,1,0,1,2,4,8.9,179,4.5
Brett Rypien,46487,2023,0,NYJ,2,58.8,34,38,8.7,2.74,3,0,0,47.4,18,1,14,10,44,2,-0.45,9,22,22.4,48.1,48,70.7,0,1,47,3,29.5,14.3,49.5,4.5,2,3,0,1,0,3,6.4,172,4.5
Tyler Huntley,46448,2023,0,BLT,5,70.6,34,37,7.2,3.21,1,1,2.7,56.8,21,0,18,12.5,48,3,0.06,14,3,81.5,63.8,64.7,57.6,0,0,48,0,39.6,22.2,99.3,8.3,4,7,0,2,3,1,2.1,203,5.5
Blaine Gabbert,6162,2023,0,KC,2,68.8,32,35,5.9,2.41,2,0,0,51.4,18,0,18,18.2,40,4,-0.31,10,16,79.8,60.7,54.6,74.8,0,3,41,0,32.5,5.6,31.2,2.5,1,4,0,1,0,2,4.9,185,5.3
Jeff Driskel,10841,2023,0,CLV,1,62.5,24,26,10.7,2.98,1,2,7.7,50,13,0,11,13.3,32,2,-0.31,11,8,78.7,66.4,58.9,83.4,0,2,32,1,37.5,27.3,63.9,9.4,3,3,0,1,2,3,9.4,166,6.4
Cooper Rush,12324,2023,0,DAL,7,75,24,24,8.4,1.91,0,1,4,75,18,0,6,0,27,0,-0.08,8,9,79.6,58,54.3,66.2,0,1,28,0,48.1,16.7,72.2,3.7,1,1,0,0,0,1,3.6,144,6
Carson Wentz,10636,2023,0,LA,1,87,23,24,6.7,2.49,0,3,10.3,70.8,17,0,9,15,30,3,0.22,12,26,80.8,80.7,80.2,68.1,0,1,35,0,53.3,22.2,99.8,6.7,2,4,0,1,2,0,0,163,6.8
Marcus Mariota,9435,2023,0,PHI,2,71.4,21,23,8.1,3.01,2,1,4.3,65.2,15,0,9,0,29,0,-0.11,12,24,27.4,66.3,55.6,80.7,0,1,29,1,51.7,33.3,82.5,10.3,3,3,0,0,1,2,6.9,164,7.1
Jacoby Brissett,10725,2023,0,WAS,2,86.4,22,23,9,2.83,0,1,3.7,78.3,18,0,8,5.3,25,1,0.66,10,32,77.4,84.6,79.4,75,0,0,29,0,52,0,146.8,0,0,2,0,1,3,0,0,224,9.7
Clayton Tune,77652,2023,0,ARZ,2,73.7,19,21,3.2,2.95,2,0,0,57.1,12,0,17,14.3,33,2,-1.1,4,1,78.8,34.2,28,65.6,0,2,35,0,18.2,41.2,22.6,21.2,7,5,0,0,0,3,8.6,62,3
Jaren Hall,82094,2023,0,MIN,3,68.4,19,20,6.8,3.23,0,0,0,65,13,0,13,0,27,0,-0.57,7,18,77.2,60.3,64.4,49.7,0,1,27,0,37,30.8,70.4,14.8,4,3,0,1,0,0,0,168,8.4
Taysom Hill,12112,2023,0,NO,10,60,10,11,13.8,3.11,1,0,0,54.5,6,0,5,0,16,0,0.22,6,20,67.7,75.3,51.6,86.1,0,0,17,0,50,40,109.3,12.5,2,3,0,0,1,0,0,83,7.5
Mike White,46453,2023,0,MIA,4,83.3,6,6,3.7,1.67,0,1,16.7,83.3,5,0,0,0,6,0,-1.1,1,17,73.9,52.5,46.2,60.3,0,1,6,0,33.3,,118.1,0,0,0,0,0,1,1,16.7,74,12.3
A.J. McCarron,8799,2023,0,CIN,2,100,5,5,-1.4,2.55,0,0,0,80,4,0,4,20,6,1,-0.84,0,7,69.6,59,58.4,,0,0,7,0,16.7,25,82.5,16.7,1,0,0,0,0,0,0,19,3.8
Malik Willis,60341,2023,0,TEN,1,80,5,5,7.6,3.55,0,0,0,80,4,0,6,0,12,0,-0.17,2,31,74.5,45.9,48.4,52.2,0,0,15,0,41.7,66.7,118.8,33.3,4,3,0,0,0,0,0,74,14.8
Logan Woodside,46517,2023,0,ATL,1,75,4,4,2,2.55,0,0,0,75,3,0,2,0,6,0,-1.52,3,2,68.9,24.8,24.9,58.3,0,1,6,0,66.7,50,53.1,16.7,1,1,0,0,0,1,16.7,27,6.8
Jakobi Meyers,47468,2023,0,LV,3,100,2,3,10.5,4.55,0,0,0,66.7,2,0,2,0,4,0,0.89,2,23,82.1,69.9,80.8,70,0,0,4,6,75,0,113.9,0,0,1,0,1,1,0,0,12,4
Derrick Henry,10679,2023,0,TEN,3,66.7,3,3,15.7,2.73,0,0,0,66.7,2,0,0,0,3,0,1.3,2,31,91.4,90.1,72.2,86.8,0,0,3,0,66.7,,116.7,0,0,0,0,0,2,0,0,14,4.7
Keenan Allen,7857,2023,0,LAC,2,100,1,2,23,3.35,0,0,0,50,1,0,1,0,2,0,1.82,1,27,35.7,85.3,71.4,,0,0,2,1,50,0,135.4,0,0,0,0,1,1,0,0,49,24.5
Christian Kirk,47546,2023,0,JAX,2,50,2,2,12.5,3.85,0,0,0,50,1,1,0,0,2,0,-0.78,0,15,26.7,71.1,52.1,63.3,0,0,2,1,0,,56.3,0,0,0,0,0,0,0,0,-1,-0.5
Kadarius Toney,61245,2023,0,KC,1,0,1,1,16,4.6,0,0,0,0,0,0,1,,1,0,-0.44,0,16,38.3,62.5,55.1,62.3,0,0,1,1,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,61398,2023,0,MIN,1,0,1,1,22,3.5,0,0,0,0,0,1,1,,1,0,-0.43,0,18,48.1,91.1,49.2,57.2,0,0,1,1,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Logan Cooke,29214,2023,0,JAX,1,100,1,1,4,2.4,0,0,0,100,1,0,0,0,1,0,3.08,1,15,60.4,70.3,66.9,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,13,13
Aaron Rodgers,2241,2023,0,NYJ,1,,0,1,,4.15,0,0,0,0,0,0,2,,2,0,-1.28,0,22,65.5,39.4,41.1,,0,0,3,0,0,50,39.6,50,1,0,0,1,0,0,0,0,0
Jalen Reeves-Maybin,11879,2023,0,DET,1,100,1,1,22,2.1,0,0,0,100,1,0,0,0,1,0,5.3,1,11,66.7,71.2,70.7,59.8,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,31,31
Kenneth Gainwell,77737,2023,0,PHI,1,100,1,1,17,2.6,0,0,0,100,1,0,0,0,1,0,0.68,1,24,29.3,55.3,69.7,52.4,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,17,17
Dyami Brown,77986,2023,0,WAS,1,100,1,1,1,3.7,0,0,0,100,1,0,0,0,1,0,0.03,0,32,72.9,59,60,56.2,0,0,1,1,100,,83.3,0,0,0,0,0,0,0,0,4,4
Jonnu Smith,11855,2023,0,ATL,1,0,1,1,9,3.3,0,0,0,0,0,2,0,,1,0,-0.48,0,2,37.5,59.1,56.3,56.9,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Chris Godwin,11839,2023,0,TB,1,0,1,1,18,3.6,0,0,0,0,0,1,0,,1,0,-0.72,0,30,83.5,77.5,49.6,70.7,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,10689,2023,0,CIN,1,0,1,1,-6,4.4,0,0,0,0,0,0,0,,1,0,-5.6,0,7,81.5,59.5,57.3,59.1,0,1,1,2,0,,0,0,0,0,0,0,0,1,100,0,0
Ja'Marr Chase,84270,2023,0,CIN,1,100,1,1,-7,4.8,0,0,0,100,1,1,0,0,1,0,-1.68,0,7,58.8,85.3,60,52.8,0,0,1,2,0,,79.2,0,0,0,0,0,0,0,0,-7,-7
Drake London,86519,2023,0,ATL,1,100,1,1,12,4,0,0,0,100,1,0,1,0,1,0,1.74,1,2,81.4,78.9,69.5,,0,0,1,1,100,0,118.8,0,0,0,0,0,0,0,0,22,22
Garrett Wilson,97405,2023,0,NYJ,1,0,1,1,9,2.9,0,0,0,0,0,1,0,,1,0,-0.44,0,22,32.1,72.9,53.5,62,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Jerick McKinnon,8731,2023,0,KC,1,100,1,1,-4,0.9,0,0,0,100,1,0,0,0,1,0,1.45,1,16,80.9,63.1,60.1,60.6,0,0,1,0,100,,122.9,0,0,0,0,0,1,0,0,4,4
Dontayvion Wicks,99711,2023,0,GB,1,100,1,1,9,2.5,0,0,0,100,1,0,0,0,1,0,0.04,1,12,23,77.8,69.9,59.2,0,0,1,2,100,,118.8,0,0,0,0,0,0,0,0,14,14
DeAndre Hopkins,7808,2023,0,TEN,2,0,1,1,-2,6.55,0,0,0,0,0,0,2,,2,0,-0.11,0,31,82.1,81,59.6,64.5,0,0,2,4,50,0,39.6,0,0,1,0,0,0,0,0,0,0
Johnny Hekker,7252,2023,0,CAR,1,100,1,1,-4,2.3,0,0,0,100,1,0,0,0,1,0,-1.78,0,5,60.4,61,60.3,60,0,0,1,0,0,,95.8,0,0,0,0,0,0,0,0,7,7
Jauan Jennings,48027,2023,0,SF,1,100,1,1,-5,3.5,0,0,0,100,1,0,1,0,1,0,3.26,1,28,76.8,74.1,60,59.7,0,0,1,3,100,0,158.3,0,0,0,0,0,1,0,0,21,21
Thomas Morstead,5088,2023,0,NYJ,1,100,1,1,9,1.9,0,0,0,100,1,0,0,0,1,0,4.55,1,22,60.4,69.8,67.2,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,18,18
Deebo Samuel,48274,2023,0,SF,1,,0,1,,5.1,0,0,0,0,0,0,1,,1,0,-0.45,0,28,64.7,85.4,60,68.2,0,0,1,2,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Sean Clifford,51708,2023,0,GB,1,100,1,1,33,2.6,0,0,0,100,1,0,1,0,1,0,3.8,1,12,15.5,56.8,76,44.9,0,0,1,0,100,0,118.8,0,0,0,0,0,0,0,0,37,37
Connor Heyward,57301,2023,0,PIT,1,,0,1,,2,1,0,0,0,0,1,0,,1,0,-0.74,0,25,76.3,55.5,60,59.3,0,0,1,4,0,,39.6,0,0,0,0,0,0,0,0,0,0
Braden Mann,44664,2023,0,PHI,1,100,1,1,11,2.2,0,0,0,100,1,0,0,0,1,0,4.94,1,24,60.4,73.1,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,28,28
Devin Singletary,40485,2023,0,HST,1,100,1,1,12,2.7,0,0,0,100,1,0,1,0,1,0,2.22,1,13,85,75.1,69.5,78.1,0,0,1,0,100,0,131.3,0,0,0,0,0,1,0,0,6,6
Kyle Trask,39987,2023,0,TB,1,0,1,1,12,2.3,0,1,100,0,0,0,0,,1,0,-1.6,0,30,64.5,86,82.7,60,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tommy Townsend,33007,2023,0,KC,1,100,1,1,12,2,0,0,0,100,1,0,0,0,1,0,3.88,1,16,60.4,74.7,68.8,,0,0,1,0,100,,112.5,0,0,0,0,0,0,0,0,11,11
