Player Id,Name,Team,Included in rank?,COV SCHEME,Passing grade,Att
29048,Sam Darnold,Seahawks,1,Cover 2-Man,66.6,9
29048,Sam Darnold,Seahawks,1,Cover-3,78.4,188
29048,Sam Darnold,Seahawks,1,Cover-3 Cloud,56.1,2
29048,Sam Darnold,Seahawks,1,Cover-3 Seam,48.5,30
29048,Sam Darnold,Seahawks,1,Cover-6,61.5,67
29048,Sam Darnold,Seahawks,1,Goal Line,38.4,5
29048,Sam Darnold,Seahawks,1,Quarters,81.5,114
29048,Sam Darnold,Seahawks,1,Red Zone,69.4,20
29048,Sam Darnold,Seahawks,1,Unknown,52.6,5
38334,Kyler Murray,Cardinals,1,Cover-0,55.1,5
38334,Kyler Murray,Cardinals,1,Cover-1,71.4,25
38334,Kyler Murray,Cardinals,1,Cover-2,64.8,21
38334,Kyler Murray,Cardinals,1,Cover-3,68.3,45
38334,Kyler Murray,Cardinals,1,Cover-3 Seam,69.9,17
38334,Kyler Murray,Cardinals,1,Cover-6,67.3,37
38334,Kyler Murray,Cardinals,1,Goal Line,58.7,2
38334,Kyler Murray,Cardinals,1,Prevent,60.4,1
38334,Kyler Murray,Cardinals,1,Quarters,59.3,46
38334,Kyler Murray,Cardinals,1,Red Zone,62.2,12
39395,Daniel Jones,Colts,1,Bracket,60,1
39395,Daniel Jones,Colts,1,Cover-0,44.4,22
39395,Daniel Jones,Colts,1,Cover-1,78.3,79
39395,Daniel Jones,Colts,1,Cover-2,70.5,58
39395,Daniel Jones,Colts,1,Cover 2-Man,60,1
39395,Daniel Jones,Colts,1,Cover-3,60.3,112
39395,Daniel Jones,Colts,1,Cover-3 Cloud,79.7,2
39395,Daniel Jones,Colts,1,Cover-3 Seam,42.7,20
39395,Daniel Jones,Colts,1,Cover-6,62.4,50
39395,Daniel Jones,Colts,1,Prevent,68.5,2
39395,Daniel Jones,Colts,1,Quarters,65.1,93
39395,Daniel Jones,Colts,1,Red Zone,81.7,17
39395,Daniel Jones,Colts,1,Unknown,53.2,3
39517,Drew Lock,Seahawks,0,Cover-3,62,2
39517,Drew Lock,Seahawks,0,Miscellaneous,43.2,1
40291,Jalen Hurts,Eagles,1,Bracket,68.8,7
40291,Jalen Hurts,Eagles,1,Cover-0,53.5,49
40291,Jalen Hurts,Eagles,1,Cover-1,71.6,97
40291,Jalen Hurts,Eagles,1,Cover-1 Double,60.9,1
40291,Jalen Hurts,Eagles,1,Cover-2,87.6,95
40291,Jalen Hurts,Eagles,1,Cover 2-Man,52.8,6
40291,Jalen Hurts,Eagles,1,Cover-3,72.7,130
40291,Jalen Hurts,Eagles,1,Cover-3 Cloud,62,5
40291,Jalen Hurts,Eagles,1,Cover-3 Double Cloud,60,1
40291,Jalen Hurts,Eagles,1,Cover-3 Seam,71.9,46
40291,Jalen Hurts,Eagles,1,Cover-6,67.7,35
40291,Jalen Hurts,Eagles,1,Goal Line,73.3,1
40291,Jalen Hurts,Eagles,1,Prevent,67.7,3
40291,Jalen Hurts,Eagles,1,Quarters,64.3,117
40291,Jalen Hurts,Eagles,1,Red Zone,59.3,7
40291,Jalen Hurts,Eagles,1,Unknown,56.1,2
40306,Jordan Love,Packers,1,Bracket,57.2,1
40306,Jordan Love,Packers,1,Cover-0,92.2,25
40306,Jordan Love,Packers,1,Cover-1,92,146
40306,Jordan Love,Packers,1,Cover-1 Double,71.6,1
40306,Jordan Love,Packers,1,Cover-2,77.8,69
40306,Jordan Love,Packers,1,Cover 2-Man,77.7,5
40306,Jordan Love,Packers,1,Cover-3,72.7,130
40306,Jordan Love,Packers,1,Cover-3 Cloud,48.9,5
40306,Jordan Love,Packers,1,Cover-3 Seam,68.4,31
40306,Jordan Love,Packers,1,Cover-6,68,61
40306,Jordan Love,Packers,1,Prevent,40.7,8
40306,Jordan Love,Packers,1,Quarters,70.2,76
40306,Jordan Love,Packers,1,Red Zone,55,13
40306,Jordan Love,Packers,1,Unknown,60,1
40364,Chris Oladokun,Chiefs,0,Bracket,53.1,1
40364,Chris Oladokun,Chiefs,0,Cover-0,61.9,3
40364,Chris Oladokun,Chiefs,0,Cover-1,36.7,7
40364,Chris Oladokun,Chiefs,0,Cover-1 Double,60.4,1
40364,Chris Oladokun,Chiefs,0,Cover-2,53.1,10
40364,Chris Oladokun,Chiefs,0,Cover 2-Man,60.4,1
40364,Chris Oladokun,Chiefs,0,Cover-3,57.6,17
40364,Chris Oladokun,Chiefs,0,Cover-3 Seam,64.9,11
40364,Chris Oladokun,Chiefs,0,Cover-6,61,7
40364,Chris Oladokun,Chiefs,0,Quarters,53.5,10
40364,Chris Oladokun,Chiefs,0,Red Zone,29.6,2
40364,Chris Oladokun,Chiefs,0,Unknown,60,1
41401,Gardner Minshew,Chiefs,0,Cover-0,71.4,2
41401,Gardner Minshew,Chiefs,0,Cover-1,27.4,1
41401,Gardner Minshew,Chiefs,0,Cover-3,43.7,3
41401,Gardner Minshew,Chiefs,0,Cover-6,54.8,2
41401,Gardner Minshew,Chiefs,0,Quarters,51.7,7
46401,Jake Browning,Bengals,0,Bracket,54.9,6
46401,Jake Browning,Bengals,0,Cover-0,45.8,4
46401,Jake Browning,Bengals,0,Cover-1,81.1,19
46401,Jake Browning,Bengals,0,Cover-1 Double,51.5,3
46401,Jake Browning,Bengals,0,Cover-2,66.4,35
46401,Jake Browning,Bengals,0,Cover 2-Man,62.2,7
46401,Jake Browning,Bengals,0,Cover-3,23.9,28
46401,Jake Browning,Bengals,0,Cover-3 Seam,47.3,3
46401,Jake Browning,Bengals,0,Cover-6,53.7,25
46401,Jake Browning,Bengals,0,Quarters,84.3,18
46401,Jake Browning,Bengals,0,Red Zone,61.6,2
46416,Lamar Jackson,Ravens,1,Cover-0,50.6,41
46416,Lamar Jackson,Ravens,1,Cover-1,69.7,100
46416,Lamar Jackson,Ravens,1,Cover-1 Double,47.5,1
46416,Lamar Jackson,Ravens,1,Cover-2,60.6,78
46416,Lamar Jackson,Ravens,1,Cover 2-Man,82.7,1
46416,Lamar Jackson,Ravens,1,Cover-3,75.4,83
46416,Lamar Jackson,Ravens,1,Cover-3 Cloud,54.9,3
46416,Lamar Jackson,Ravens,1,Cover-3 Seam,70,12
46416,Lamar Jackson,Ravens,1,Cover-6,61.9,19
46416,Lamar Jackson,Ravens,1,Goal Line,68.5,2
46416,Lamar Jackson,Ravens,1,Quarters,60.3,37
46416,Lamar Jackson,Ravens,1,Red Zone,70.5,14
46416,Lamar Jackson,Ravens,1,Unknown,56.1,2
46448,Tyler Huntley,Ravens,0,Cover-0,68.7,4
46448,Tyler Huntley,Ravens,0,Cover-1,74.2,15
46448,Tyler Huntley,Ravens,0,Cover-1 Double,60,1
46448,Tyler Huntley,Ravens,0,Cover-2,73.3,14
46448,Tyler Huntley,Ravens,0,Cover-3,66.7,28
46448,Tyler Huntley,Ravens,0,Cover-3 Seam,43.6,4
46448,Tyler Huntley,Ravens,0,Cover-6,50.8,11
46448,Tyler Huntley,Ravens,0,Quarters,64.5,6
46448,Tyler Huntley,Ravens,0,Red Zone,60,1
46448,Tyler Huntley,Ravens,0,Unknown,60,1
46487,Brett Rypien,Bengals,#N/A,Cover-2,60,1
46518,Baker Mayfield,Buccaneers,1,Bracket,59.3,5
46518,Baker Mayfield,Buccaneers,1,Cover-0,45.3,13
46518,Baker Mayfield,Buccaneers,1,Cover-1,54.3,140
46518,Baker Mayfield,Buccaneers,1,Cover-1 Double,44.3,5
46518,Baker Mayfield,Buccaneers,1,Cover-2,67,96
46518,Baker Mayfield,Buccaneers,1,Cover 2-Man,51.8,5
46518,Baker Mayfield,Buccaneers,1,Cover-3,68.6,168
46518,Baker Mayfield,Buccaneers,1,Cover-3 Cloud,72.7,7
46518,Baker Mayfield,Buccaneers,1,Cover-3 Seam,70.2,59
46518,Baker Mayfield,Buccaneers,1,Cover-6,61.9,42
46518,Baker Mayfield,Buccaneers,1,Prevent,41,4
46518,Baker Mayfield,Buccaneers,1,Quarters,69.3,109
46518,Baker Mayfield,Buccaneers,1,Red Zone,59.8,26
46518,Baker Mayfield,Buccaneers,1,Unknown,60,1
46569,Mason Rudolph,Steelers,0,Cover-0,76.9,4
46569,Mason Rudolph,Steelers,0,Cover-1,46.7,10
46569,Mason Rudolph,Steelers,0,Cover-2,57.8,10
46569,Mason Rudolph,Steelers,0,Cover 2-Man,73,2
46569,Mason Rudolph,Steelers,0,Cover-3,58.5,16
46569,Mason Rudolph,Steelers,0,Cover-3 Seam,30.1,6
46569,Mason Rudolph,Steelers,0,Cover-6,60,1
46569,Mason Rudolph,Steelers,0,Quarters,53.4,11
46569,Mason Rudolph,Steelers,0,Red Zone,60,1
46601,Josh Allen,Bills,1,Bracket,60.4,2
46601,Josh Allen,Bills,1,Cover-0,55,42
46601,Josh Allen,Bills,1,Cover-1,76.5,175
46601,Josh Allen,Bills,1,Cover-1 Double,74.8,1
46601,Josh Allen,Bills,1,Cover-2,79.6,70
46601,Josh Allen,Bills,1,Cover 2-Man,59.7,2
46601,Josh Allen,Bills,1,Cover-3,71.3,172
46601,Josh Allen,Bills,1,Cover-3 Cloud,73.6,7
46601,Josh Allen,Bills,1,Cover-3 Seam,67.4,59
46601,Josh Allen,Bills,1,Cover-6,77.9,51
46601,Josh Allen,Bills,1,Goal Line,75.8,2
46601,Josh Allen,Bills,1,Prevent,68.1,2
46601,Josh Allen,Bills,1,Quarters,87.2,75
46601,Josh Allen,Bills,1,Red Zone,77,16
46601,Josh Allen,Bills,1,Unknown,60,1
52269,Davis Mills,Texans,1,Bracket,44.2,2
52269,Davis Mills,Texans,1,Cover-0,30.7,9
52269,Davis Mills,Texans,1,Cover-1,72.8,34
52269,Davis Mills,Texans,1,Cover-2,64.8,21
52269,Davis Mills,Texans,1,Cover 2-Man,53.7,3
52269,Davis Mills,Texans,1,Cover-3,75.9,40
52269,Davis Mills,Texans,1,Cover-3 Cloud,60.4,1
52269,Davis Mills,Texans,1,Cover-3 Seam,47.5,5
52269,Davis Mills,Texans,1,Cover-6,80,34
52269,Davis Mills,Texans,1,Prevent,59.5,1
52269,Davis Mills,Texans,1,Quarters,31.5,22
52269,Davis Mills,Texans,1,Red Zone,90.1,11
60323,Mac Jones,49ers,1,Bracket,60,1
60323,Mac Jones,49ers,1,Cover-0,60.2,5
60323,Mac Jones,49ers,1,Cover-1,74.6,48
60323,Mac Jones,49ers,1,Cover-2,65.2,39
60323,Mac Jones,49ers,1,Cover 2-Man,48.9,3
60323,Mac Jones,49ers,1,Cover-3,80.7,76
60323,Mac Jones,49ers,1,Cover-3 Cloud,33.7,3
60323,Mac Jones,49ers,1,Cover-3 Seam,62.3,22
60323,Mac Jones,49ers,1,Cover-6,47.6,27
60323,Mac Jones,49ers,1,Goal Line,91.2,3
60323,Mac Jones,49ers,1,Prevent,59.9,2
60323,Mac Jones,49ers,1,Quarters,75.7,92
60323,Mac Jones,49ers,1,Red Zone,62.3,10
60323,Mac Jones,49ers,1,Unknown,53.2,3
60326,Tua Tagovailoa,Dolphins,1,Cover-0,82.1,16
60326,Tua Tagovailoa,Dolphins,1,Cover-1,64.6,45
60326,Tua Tagovailoa,Dolphins,1,Cover-2,56.5,90
60326,Tua Tagovailoa,Dolphins,1,Cover 2-Man,84.3,12
60326,Tua Tagovailoa,Dolphins,1,Cover-3,54.3,140
60326,Tua Tagovailoa,Dolphins,1,Cover-3 Cloud,53.6,1
60326,Tua Tagovailoa,Dolphins,1,Cover-3 Double Cloud,60.5,1
60326,Tua Tagovailoa,Dolphins,1,Cover-3 Seam,41.5,17
60326,Tua Tagovailoa,Dolphins,1,Cover-6,85.4,52
60326,Tua Tagovailoa,Dolphins,1,Prevent,29,7
60326,Tua Tagovailoa,Dolphins,1,Quarters,62.8,66
60326,Tua Tagovailoa,Dolphins,1,Red Zone,91.2,15
60326,Tua Tagovailoa,Dolphins,1,Unknown,31.8,3
60341,Malik Willis,Packers,0,Cover-0,71.3,4
60341,Malik Willis,Packers,0,Cover-1,83.9,6
60341,Malik Willis,Packers,0,Cover-2,90.3,3
60341,Malik Willis,Packers,0,Cover-3,77.4,19
60341,Malik Willis,Packers,0,Cover-3 Seam,60,1
60341,Malik Willis,Packers,0,Cover-6,76.8,6
60341,Malik Willis,Packers,0,Quarters,65.9,6
60341,Malik Willis,Packers,0,Red Zone,61.9,4
60515,Kenny Pickett,Raiders,0,Cover-0,60.5,1
60515,Kenny Pickett,Raiders,0,Cover-1,52.6,16
60515,Kenny Pickett,Raiders,0,Cover-2,20.2,4
60515,Kenny Pickett,Raiders,0,Cover 2-Man,71.2,5
60515,Kenny Pickett,Raiders,0,Cover-3,54.1,7
60515,Kenny Pickett,Raiders,0,Cover-3 Seam,57.2,11
60515,Kenny Pickett,Raiders,0,Cover-6,59.6,4
60515,Kenny Pickett,Raiders,0,Prevent,74.9,1
60515,Kenny Pickett,Raiders,0,Quarters,59.9,8
60515,Kenny Pickett,Raiders,0,Unknown,60,1
60516,Aidan O'Connell,Raiders,0,Bracket,47.5,1
60516,Aidan O'Connell,Raiders,0,Cover-0,71.6,2
60516,Aidan O'Connell,Raiders,0,Cover-1,78.7,3
60516,Aidan O'Connell,Raiders,0,Cover-1 Double,60.4,2
60516,Aidan O'Connell,Raiders,0,Cover-2,57.6,5
60516,Aidan O'Connell,Raiders,0,Cover-3,60.8,5
60516,Aidan O'Connell,Raiders,0,Cover-3 Cloud,71.9,1
60516,Aidan O'Connell,Raiders,0,Cover-3 Seam,62.8,4
60516,Aidan O'Connell,Raiders,0,Miscellaneous,46.5,1
60516,Aidan O'Connell,Raiders,0,Quarters,60.4,1
77632,Trevor Lawrence,Jaguars,1,Bracket,71.9,3
77632,Trevor Lawrence,Jaguars,1,Cover-0,66,37
77632,Trevor Lawrence,Jaguars,1,Cover-1,79.2,128
77632,Trevor Lawrence,Jaguars,1,Cover-1 Double,80.7,3
77632,Trevor Lawrence,Jaguars,1,Cover-2,84.1,85
77632,Trevor Lawrence,Jaguars,1,Cover 2-Man,92,4
77632,Trevor Lawrence,Jaguars,1,Cover-3,63.8,216
77632,Trevor Lawrence,Jaguars,1,Cover-3 Cloud,90.3,4
77632,Trevor Lawrence,Jaguars,1,Cover-3 Seam,64.7,41
77632,Trevor Lawrence,Jaguars,1,Cover-6,66.6,57
77632,Trevor Lawrence,Jaguars,1,Prevent,28.2,4
77632,Trevor Lawrence,Jaguars,1,Quarters,78.9,112
77632,Trevor Lawrence,Jaguars,1,Red Zone,68.3,27
77632,Trevor Lawrence,Jaguars,1,Unknown,51.1,4
77652,Clayton Tune,Packers,0,Cover-0,56,2
77652,Clayton Tune,Packers,0,Cover-2,58,5
77652,Clayton Tune,Packers,0,Cover-3,44.9,8
77652,Clayton Tune,Packers,0,Cover-3 Cloud,60,1
77652,Clayton Tune,Packers,0,Cover-6,44.5,3
77652,Clayton Tune,Packers,0,Quarters,59.9,3
77652,Clayton Tune,Packers,0,Red Zone,26.5,1
77672,Brock Purdy,49ers,1,Bracket,79.1,3
77672,Brock Purdy,49ers,1,Cover-0,91.3,12
77672,Brock Purdy,49ers,1,Cover-1,70.9,70
77672,Brock Purdy,49ers,1,Cover-2,70.8,29
