player,player_id,Included in rank?,PLUS%,ACC%,CAT INAC%,UNC INAC%,OTHER%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Tune,77652,0,0,38.50%,30.80%,30.80%,15.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Buechele,12659,0,0.2,50.00%,20.00%,30.00%,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew,41401,0,0,44.40%,22.20%,33.30%,44.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Wilson,82096,0,0,25.00%,37.50%,37.50%,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs,11890,0,0.1,50.00%,30.00%,20.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,12112,0,0.333,66.70%,0.00%,33.30%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Bagent,169628,0,0,50.00%,25.00%,25.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mullens,12282,0,0,66.70%,33.30%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Lock,39517,0,0,33.30%,33.30%,33.30%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Richardson,124393,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedon Slovis,100580,0,0,0.00%,100.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,45719,0,0,50.00%,0.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen,26152,0,0,50.00%,0.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,95015,0,0,0.00%,50.00%,50.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,11824,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,11763,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,97156,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,129798,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,60995,0,0,0.00%,100.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,10679,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efton Chism III,141521,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Bojorquez,27626,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,57206,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,48267,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,48027,0,1,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,84088,0,0,100.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto Sanchez,12130,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,97636,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Haack,12212,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin McNamara,99363,0,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey,99622,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,84355,0,0,0.00%,0.00%,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
