Player Id,Name,Team,QB Decision,PASS GRD,Att
11757,Mitch Trubisky,Bills,Next Read,64.1,7
11757,Mitch Trubisky,Bills,N/A,60.4,1
11765,Patrick Mahomes,Chiefs,Checkdown,44.7,37
11765,Patrick Mahomes,Chiefs,Hail Mary,57.1,3
11765,Patrick Mahomes,Chiefs,First Read,62.6,381
11765,Patrick Mahomes,Chiefs,Scramble Drill,93,56
11765,Patrick Mahomes,Chiefs,Next Read,69.4,75
11765,Patrick Mahomes,Chiefs,N/A,68.6,84
11890,Joshua Dobbs,Patriots,Checkdown,60.4,1
11890,Joshua Dobbs,Patriots,First Read,59.7,8
11890,Joshua Dobbs,Patriots,Scramble Drill,71.9,1
11890,Joshua Dobbs,Patriots,N/A,62,2
12282,Nick Mullens,Jaguars,First Read,70.4,1
12282,Nick Mullens,Jaguars,N/A,61.8,2
12324,Cooper Rush,Ravens,Checkdown,40.5,9
12324,Cooper Rush,Ravens,First Read,76.3,34
12324,Cooper Rush,Ravens,Scramble Drill,58.1,2
12324,Cooper Rush,Ravens,Next Read,30.7,7
12324,Cooper Rush,Ravens,N/A,54.9,5
12659,Shane Buechele,Chiefs,Checkdown,59,2
12659,Shane Buechele,Chiefs,First Read,54.5,12
12659,Shane Buechele,Chiefs,Scramble Drill,60,2
12659,Shane Buechele,Chiefs,Next Read,57,2
12659,Shane Buechele,Chiefs,N/A,62.1,2
13725,Jarrett Stidham,Broncos,Checkdown,26.8,8
13725,Jarrett Stidham,Broncos,First Read,51,18
13725,Jarrett Stidham,Broncos,Scramble Drill,76.4,1
13725,Jarrett Stidham,Broncos,Next Read,69.9,4
13725,Jarrett Stidham,Broncos,N/A,57.8,6
26152,Kyle Allen,Lions,First Read,73,2
28022,Joe Burrow,Bengals,Checkdown,63.3,45
28022,Joe Burrow,Bengals,First Read,92.2,194
28022,Joe Burrow,Bengals,Scramble Drill,85.8,22
28022,Joe Burrow,Bengals,Next Read,71.5,24
28022,Joe Burrow,Bengals,N/A,56.1,18
28237,Justin Herbert,Chargers,Checkdown,68.9,52
28237,Justin Herbert,Chargers,First Read,71.9,438
28237,Justin Herbert,Chargers,Scramble Drill,65,45
28237,Justin Herbert,Chargers,Next Read,70,113
28237,Justin Herbert,Chargers,N/A,61.9,43
29048,Sam Darnold,Seahawks,Checkdown,60.4,58
29048,Sam Darnold,Seahawks,First Read,85.8,435
29048,Sam Darnold,Seahawks,Scramble Drill,51.2,29
29048,Sam Darnold,Seahawks,Next Read,64,81
29048,Sam Darnold,Seahawks,N/A,61.1,57
38334,Kyler Murray,Cardinals,Checkdown,61.7,16
38334,Kyler Murray,Cardinals,First Read,67.6,132
38334,Kyler Murray,Cardinals,Scramble Drill,44,14
38334,Kyler Murray,Cardinals,Next Read,89.4,20
38334,Kyler Murray,Cardinals,N/A,64.1,29
39395,Daniel Jones,Colts,Checkdown,58.1,41
39395,Daniel Jones,Colts,First Read,71.3,338
39395,Daniel Jones,Colts,Scramble Drill,73.1,8
39395,Daniel Jones,Colts,Next Read,56,39
39395,Daniel Jones,Colts,N/A,55.8,34
39517,Drew Lock,Seahawks,Checkdown,62,2
39517,Drew Lock,Seahawks,First Read,43.2,1
40291,Jalen Hurts,Eagles,Checkdown,66.4,41
40291,Jalen Hurts,Eagles,Hail Mary,59.5,1
40291,Jalen Hurts,Eagles,First Read,75.7,418
40291,Jalen Hurts,Eagles,Scramble Drill,73.9,45
40291,Jalen Hurts,Eagles,Next Read,68.5,50
40291,Jalen Hurts,Eagles,N/A,61.7,47
40306,Jordan Love,Packers,Checkdown,55.6,73
40306,Jordan Love,Packers,Hail Mary,29.7,1
40306,Jordan Love,Packers,First Read,92.8,373
40306,Jordan Love,Packers,Scramble Drill,38.9,20
40306,Jordan Love,Packers,Next Read,74.1,49
40306,Jordan Love,Packers,N/A,64.3,56
